uid|sb|code|error|updated
uid://A002/X72ae5e/X48c|uid://A002/X5a9a13/X6d0|2012.1.00382.S|0.0486629377489|False
uid://A002/X72ae5e/X8a8|uid://A002/X5a9a13/X6d0|2012.1.00382.S|0.0639082146076|False
uid://A002/X72d23d/Xafb|uid://A002/X5a9a13/X6d0|2012.1.00382.S|0.0637553731245|False
uid://A002/X72e960/X13f3|uid://A002/X5a9a13/X6d0|2012.1.00382.S|0.063304317512|False
uid://A002/X72e960/X197e|uid://A002/X5a9a13/X6d0|2012.1.00382.S|0.0637049799124|False
uid://A002/X7310ce/X1358|uid://A002/X5a9a13/X6d0|2012.1.00382.S|0.063413594093|False
uid://A002/X7310ce/X183d|uid://A002/X5a9a13/X6d0|2012.1.00382.S|0.0637241204676|False
uid://A002/X74821d/X1272|uid://A002/X5a9a13/X6d4|2012.1.00382.S|0.0492317351489|False
uid://A002/X74a173/X1a8f|uid://A002/X5a9a13/X6d4|2012.1.00382.S|0.0467731319653|False
uid://A002/X75d7ca/Xc97|uid://A002/X5a9a13/X6d3|2012.1.00382.S|0.0559728859531|False
uid://A002/X75d7ca/Xea4|uid://A002/X5a9a13/X6d3|2012.1.00382.S|0.0561398334226|False
uid://A002/X75d7ca/X118b|uid://A002/X5a9a13/X6d3|2012.1.00382.S|0.056304783352|False
uid://A002/X7e4988/X61e|uid://A002/X5a9a13/X6cf|2012.1.00382.S|0.0653516483535|False
uid://A002/X7ebc8f/X343|uid://A002/X5a9a13/X6cf|2012.1.00382.S|0.0653516483535|False
uid://A002/X7fc9da/X7f|uid://A002/X5a9a13/X6cf|2012.1.00382.S|0.0653516483535|False
uid://A002/X839000/X27a|uid://A002/X5a9a13/X6d4|2012.1.00382.S|0.0456468275383|False
uid://A002/X839000/X784|uid://A002/X5a9a13/X6d4|2012.1.00382.S|0.0456468275383|False
uid://A002/X839000/Xc0d|uid://A002/X5a9a13/X6d0|2012.1.00382.S|0.0634565551339|False
uid://A002/X855419/X2466|uid://A002/X5a9a13/X6d0|2012.1.00382.S|0.0634565551339|False
uid://A002/X856bb8/X81b|uid://A002/X5a9a13/X6d4|2012.1.00382.S|0.0456468275383|False
uid://A002/X856bb8/X4643|uid://A002/X5a9a13/X6d0|2012.1.00382.S|0.0634565551339|False
uid://A002/X75bfbf/X1430|uid://A002/X6b0cc1/Xa0|2012.1.00385.S|1295920.78126|True
uid://A002/X75bfbf/X1728|uid://A002/X6b0cc1/Xa0|2012.1.00385.S|1295920.44799|True
uid://A002/X736ee1/X1f3|uid://A002/X639a2a/X41|2012.1.00394.S|0.178754626328|False
uid://A002/X736ee1/X456|uid://A002/X639a2a/X41|2012.1.00394.S|0.162070211382|False
uid://A002/X736ee1/X69e|uid://A002/X639a2a/X41|2012.1.00394.S|0.162457906407|False
uid://A002/X74fea5/X105d|uid://A002/X639a2a/X40|2012.1.00394.S|403.776318195|True
uid://A002/X74fea5/X1311|uid://A002/X639a2a/X3e|2012.1.00394.S|0.157410817168|True
uid://A002/X75ab74/X158e|uid://A002/X639a2a/X41|2012.1.00394.S|0.176181684119|False
uid://A002/X775008/X3d9|uid://A002/X639a2a/X3a|2012.1.00394.S|40.7996913997|True
uid://A002/X775008/X95e|uid://A002/X639a2a/X3f|2012.1.00394.S|0.0179379340385|False
uid://A002/X775008/Xe23|uid://A002/X639a2a/X3f|2012.1.00394.S|0.0179379340385|False
uid://A002/X775008/X1188|uid://A002/X639a2a/X3f|2012.1.00394.S|0.0179379340385|False
uid://A002/X7776f1/X60|uid://A002/X639a2a/X3c|2012.1.00394.S|40.7996913997|True
uid://A002/X7776f1/X4a4|uid://A002/X639a2a/X3c|2012.1.00394.S|40.7996913997|True
uid://A002/X7955bb/X5c9|uid://A002/X639a2a/X3f|2012.1.00394.S|0.0179379340385|False
uid://A002/X8440e0/X2743|uid://A002/X639a2a/X41|2012.1.00394.S|0.0162320487927|False
uid://A002/X895c89/X21b|uid://A002/X639a2a/X41|2012.1.00394.S|0.0162320487927|False
uid://A002/X8970e9/X1204|uid://A002/X639a2a/X41|2012.1.00394.S|0.0162320487927|False
uid://A002/X9d355b/Xba1|uid://A002/X639a2a/X41|2012.1.00394.S|0.0162320487927|False
uid://A002/X75f169/X1003|uid://A002/X5d5f8a/X3|2012.1.00501.S|1097897.21299|True
uid://A002/X78a4a4/Xe6|uid://A002/X75fbd6/X124|2012.1.00532.S|0.0522713732214|False
uid://A002/X78a4a4/X57b|uid://A002/X75fbd6/X124|2012.1.00532.S|0.0522713732214|False
uid://A002/X7c3a52/X4a9|uid://A002/X75fbd6/X123|2012.1.00532.S|0.0595990008953|False
uid://A002/X7c3a52/X904|uid://A002/X75fbd6/X123|2012.1.00532.S|0.0595990008953|False
uid://A002/X7d3c04/X71f|uid://A002/X75fbd6/X124|2012.1.00532.S|0.0522713732214|False
uid://A002/X7c8369/X64e|uid://A002/X6444ba/X33|2012.1.00542.S|2.83098501364|True
uid://A002/X7d76cc/X520|uid://A002/X6444ba/X34|2012.1.00542.S|3.22937708025|True
uid://A002/X95b353/Xb11|uid://A002/X6444ba/X34|2012.1.00542.S|3.22937708025|True
uid://A002/X6f2c6e/X3529|uid://A002/X5d7935/X39f|2012.1.00554.S|0.0246841930904|False
uid://A002/X6f2c6e/X3af3|uid://A002/X5d7935/X3a3|2012.1.00554.S|0.327356366825|False
uid://A002/X6f4daf/X112c|uid://A002/X5d7935/X39f|2012.1.00554.S|0.0246841930904|False
uid://A002/X6f6a58/X6ff|uid://A002/X5d7935/X39f|2012.1.00554.S|0.0246841930904|False
uid://A002/X6f6a58/X88b|uid://A002/X5d7935/X3a3|2012.1.00554.S|0.327356366825|False
uid://A002/X71a45c/Xe44|uid://A002/X5d7935/X3a3|2012.1.00554.S|0.327251958082|False
uid://A002/X74a173/X23b7|uid://A002/X5d7935/X39e|2012.1.00554.S|0.0436156341996|False
uid://A002/X74d4df/X913|uid://A002/X5d7935/X3a0|2012.1.00554.S|0.033410146551|False
uid://A002/X74deb6/X44e|uid://A002/X5d7935/X3a1|2012.1.00554.S|0.0844828785027|False
