,UID,DATE,ValidUID,NullState,SyscalTime,CSV2555
1283,uid://A002/X80c782/X1597,2014-05-05 09:53:34.442000,True,True,True,False
1284,uid://A002/X80c782/X1421,2014-05-05 09:11:06.053000,True,True,True,False
1285,uid://A002/X80c782/X13f9,2014-05-05 08:58:55.768000,True,True,True,False
1286,uid://A002/X80c782/X1295,2014-05-05 08:17:34.105000,True,True,True,False
1287,uid://A002/X80c782/Xfe0,2014-05-05 07:16:54.138000,True,True,True,False
1288,uid://A002/X80c782/Xeb6,2014-05-05 06:45:57.535000,True,True,True,True
1289,uid://A002/X80c782/Xe1a,2014-05-05 06:24:58.436000,True,True,True,True
1290,uid://A002/X80c782/Xd94,2014-05-05 06:05:52.458000,True,True,True,True
1291,uid://A002/X80c782/Xd5e,2014-05-05 05:59:07.109000,True,True,True,True
1292,uid://A002/X80c782/Xd1f,2014-05-05 05:52:47.696000,True,True,True,True
1293,uid://A002/X80c782/Xacf,2014-05-05 04:59:38.030000,True,True,True,False
1294,uid://A002/X80c782/X8e5,2014-05-05 04:25:15.306000,True,True,True,True
1295,uid://A002/X80c782/X504,2014-05-05 02:56:45.195000,True,True,False,False
1296,uid://A002/X80c782/X8d,2014-05-05 01:08:59.707000,True,True,True,False
1297,uid://A002/X8081ba/X507a,2014-05-04 21:58:28.031000,True,True,True,True
1298,uid://A002/X8081ba/X504c,2014-05-04 21:42:11.793000,True,True,True,True
1299,uid://A002/X8081ba/X502a,2014-05-04 21:31:24.122000,True,True,True,True
1300,uid://A002/X8081ba/X4d3a,2014-05-04 19:28:26.753000,True,True,True,False
1301,uid://A002/X8081ba/X4b0a,2014-05-04 18:26:19.970000,True,True,True,False
1302,uid://A002/X8081ba/X49ca,2014-05-04 17:59:26.118000,True,True,True,False
1303,uid://A002/X8081ba/X4527,2014-05-04 16:28:44.566000,True,True,True,True
1304,uid://A002/X8081ba/X44b8,2014-05-04 16:12:32.834000,True,True,True,False
1305,uid://A002/X8081ba/X4018,2014-05-04 14:45:43.732000,True,True,True,False
1306,uid://A002/X8081ba/X3e04,2014-05-04 13:48:13.682000,True,True,True,False
1307,uid://A002/X8081ba/X3d24,2014-05-04 13:29:34.643000,True,True,True,False
1308,uid://A002/X8081ba/X3af5,2014-05-04 12:09:15.954000,True,True,False,False
1309,uid://A002/X8081ba/X3ae8,2014-05-04 12:05:32.181000,True,True,True,False
1310,uid://A002/X8081ba/X3889,2014-05-04 11:01:53.586000,True,True,True,False
1311,uid://A002/X8081ba/X3635,2014-05-04 09:59:55.055000,True,True,True,False
1312,uid://A002/X8081ba/X34ea,2014-05-04 09:24:32.608000,True,True,True,False
1313,uid://A002/X8081ba/X32b1,2014-05-04 08:23:03.337000,True,True,True,False
